# author: Jens Bertram <code@jens-bertram.net>
# sources:	http://www.dnb.de/SharedDocs/Downloads/DE/DNB/standardisierung/inhaltserschliessung/sprachencodes_engl.pdf?__blob=publicationFile
#			http://www.dnb.de/SharedDocs/Downloads/DE/DNB/standardisierung/inhaltserschliessung/sprachencodes_dt.pdf?__blob=publicationFile
# last changed: 02.01.2012
# language_id; language_code; name_en; name_de
1;aar;Afar;Afar-Sprache 
2;abk;Abkhazian;Abchasisch
3;ace;Achinese;Aceh-Sprache
4;ach;Acoli;Acholi-Sprache 
5;ada;Adangme;Adangme-Sprache
6;ady;Adyghe, Adygei;Adygisch
7;afa;Afro-Asiatic languages;Hamitosemitische Sprachen
8;afh;Afrihili;Afrihili 
9;afr;Afrikaans;Afrikaans 
10;ain;Ainu;Ainu-Sprache 
11;aka;Akan;Akan-Sprache 
12;akk;Akkadian;Akkadisch 
13;alb;Albanian;Albanisch
14;ale;Aleut;Aleutisch 
15;alg;Algonquian languages;Algonkin-Sprachen 
16;alt;Southern Altai;Altaisch 
17;amh;Amharic;Amharisch 
18;ang;English, Old (ca.450-1100);Altenglisch
19;anp;Angika;Anga-Sprache
20;apa;Apache languages;Apachen-Sprachen 
21;ara;Arabic;Arabisch
22;arc;Official Aramaic (700-300 BCE), Imperial Aramaic (700-300 BCE);Aramäisch
23;arg;Aragonese;Aragonesisch
24;arm;Armenian;Armenisch
25;arn;Mapudungun, Mapuche;Arauka-Sprachen 
26;arp;Arapaho;Arapaho-Sprache
27;art;Artificial languages;Kunstsprachen
28;arw;Arawak;Arawak-Sprachen
29;asm;Assamese;Assamesisch 
30;ast;Asturian, Bable, Leonese, Asturleonese;Asturisch 
31;ath;Athapascan languages;Athapaskische Sprachen
32;aus;Australian languages;Australische Sprachen 
33;ava;Avaric;Awarisch 
34;ave;Avestan;Avestisch 
35;awa;Awadhi;Awadhī 
36;aym;Aymara;Aymará-Sprache 
37;aze;Azerbaijani;Aserbeidschanisch 
38;bad;Banda languages;Banda-Sprachen 
39;bai;Bamileke languages;Bamileke-Sprachen 
40;bak;Bashkir;Baschkirisch 
41;bal;Baluchi;Belutschisch 
42;bam;Bambara;Bambara-Sprache 
43;ban;Balinese;Balinesisch 
44;baq;Basque;Baskisch
45;bas;Basa;Basaa-Sprache 
46;bat;Baltic languages;Baltische Sprachen
47;bej;Beja, Bedawiyet;Bedauye 
48;bel;Belarusian;Belutschisch 
49;bem;Bemba;Bemba-Sprache 
50;ben;Bengali;Bengali 
51;ber;Berber languages;Berbersprachen 
52;bho;Bhojpuri;Bhojpurī 
53;bih;Bihari languages;Bihari 
54;bik;Bikol;Bikol-Sprache 
55;bin;Bini, Edo;Edo-Sprache 
56;bis;Bislama;Beach-la-mar 
57;bla;Siksika;Blackfoot-Sprache 
58;bnt;Bantu;Bantusprachen
59;bos;Bosnian;Bosnisch
60;bra;Braj;Braj-Bhakha 
61;bre;Breton;Bretonisch 
62;btk;Batak languages;Batak-Sprache 
63;bua;Buriat;Burjatisch 
64;bug;Buginese;Bugi-Sprache 
65;bul;Bulgarian;Bulgarisch
66;bur;Burmese;Birmanisch 
67;byn;Blin, Bilin;Bilin-Sprache 
68;cad;Caddo;Caddo-Sprachen 
69;cai;Central American Indian languages;Indianersprachen, Zentralamerika 
70;car;Galibi Carib;Karibische Sprachen
71;cat;Catalan, Valencian;Katalanisch 
72;cau;Caucasian languages;Kaukasische Sprachen 
73;ceb;Cebuano;Cebuano 
74;cel;Celtic languages;Keltische Sprachen 
75;cha;Chamorro;Chamorro-Sprache 
76;chb;Chibcha;Chibcha-Sprachen 
77;che;Chechen;Tschetschenische Sprache
78;chg;Chagatai;Tschagataisch
79;chi;Chinese;Chinesische Sprachen
80;chk;Chuukese;Trukesisch
81;chm;Mari;Tscheremissisch 
82;chn;Chinook jargon;Chinook-Jargon 
83;cho;Choctaw;Choctaw-Sprache 
84;chp;Chipewyan, Dene Suline;Chipewyan-Sprache 
85;chr;Cherokee;Cherokee-Sprache 
86;chu;Church Slavic, Old Slavonic, Church Slavonic, Old Bulgarian, Old Church Slavonic;Kirchenslawisch 
87;chv;Chuvash;Tschuwaschisch 
88;chy;Cheyenne;Cheyenne-Sprache 
89;cmc;Chamic languages;Cham-Sprachen 
90;cop;Coptic;Koptisch 
91;cor;Cornish;Kornisch 
92;cos;Corsican;Korsisch 
93;cpe;Creoles and pidgins, English based;Kreolisch-Englisch 
94;cpf;Creoles and pidgins, French-based ;Kreolisch-Französisch 
95;cpp;Creoles and pidgins, Portuguese-based ;Kreolisch-Portugiesisch 
96;cre;Cree;Cree-Sprache 
